interaction,direction,correspondent_id,datetime,call_duration,antenna_id
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-25 18:17:28,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-25 18:34:15,,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-25 18:35:10,44,
call,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-25 18:36:15,51,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-25 21:32:10,,
call,out,5fed21afe6e8968cf22b89638aca4d1b696aa96f,2017-06-25 22:34:27,88,
call,out,5fed21afe6e8968cf22b89638aca4d1b696aa96f,2017-06-25 22:36:03,3471,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2017-06-25 22:37:23,16,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-26 18:16:14,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-26 18:20:56,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-26 20:09:10,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-26 20:11:45,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-26 20:12:06,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-26 20:14:51,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-27 01:36:20,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-27 03:35:40,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-27 18:22:54,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-27 18:24:38,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-27 18:48:15,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-27 19:28:08,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-27 23:37:48,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 02:01:33,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 03:28:05,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 03:42:53,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 03:43:38,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 03:47:52,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 03:50:23,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 03:51:36,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 03:58:49,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 04:08:57,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 04:38:42,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 04:43:29,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 04:43:54,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 04:43:56,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 04:44:10,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 04:44:32,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 04:48:33,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 04:56:17,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 05:00:17,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 05:00:47,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 05:01:31,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 05:03:35,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 05:03:49,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 05:08:23,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-06-28 05:10:29,,
